time,device_id,msg_type,position_time,lat,lon,mode,collar_status,fence_status
2024-11-01 02:30:53+00:00,229116,poll_message_req,2024-11-01 02:05:22+00:00,38.3804198,-2.6937446,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:31:25+00:00,229107,poll_message_req,2024-11-01 02:31:22+00:00,38.3802711,-2.6937685,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 02:41:34+00:00,229344,poll_message_req,2024-11-01 02:23:47+00:00,38.3804091,-2.6937796,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:42:27+00:00,229111,poll_message_req,2024-11-01 02:42:22+00:00,38.3803976,-2.6935139,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:43:32+00:00,229327,poll_message_req,2024-11-01 02:43:32+00:00,38.3802793,-2.6937149,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 02:43:44+00:00,229198,poll_message_req,2024-11-01 01:53:22+00:00,38.3804052,-2.6936904,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:45:26+00:00,229175,poll_message_req,2024-11-01 02:32:12+00:00,38.3802695,-2.6936635,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:45:45+00:00,246064,poll_message_req,2024-11-01 02:32:12+00:00,38.3803235,-2.69365,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:45:50+00:00,246050,poll_message_req,2024-11-01 02:20:07+00:00,38.3802628,-2.6935372,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:45:53+00:00,229116,poll_message_req,2024-11-01 02:05:22+00:00,38.3804198,-2.6937446,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:46:25+00:00,229107,poll_message_req,2024-11-01 02:32:37+00:00,38.3802787,-2.6937478,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:56:34+00:00,229344,poll_message_req,2024-11-01 02:23:47+00:00,38.3804091,-2.6937796,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:57:26+00:00,229111,poll_message_req,2024-11-01 02:42:22+00:00,38.3803976,-2.6935139,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:58:32+00:00,229327,poll_message_req,2024-11-01 02:55:27+00:00,38.3802385,-2.6936452,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:58:44+00:00,229198,poll_message_req,2024-11-01 02:56:57+00:00,38.3804114,-2.6936919,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:00:26+00:00,229175,poll_message_req,2024-11-01 02:32:12+00:00,38.3802695,-2.6936635,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:00:45+00:00,246064,poll_message_req,2024-11-01 02:51:52+00:00,38.3803113,-2.6936392,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:00:49+00:00,246050,poll_message_req,2024-11-01 02:20:07+00:00,38.3802628,-2.6935372,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:01:06+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:01:25+00:00,229107,poll_message_req,2024-11-01 02:57:47+00:00,38.3802247,-2.6937671,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:11:34+00:00,229344,poll_message_req,2024-11-01 02:23:47+00:00,38.3804091,-2.6937796,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:12:24+00:00,229111,poll_message_req,2024-11-01 03:12:24+00:00,38.3803932,-2.693474,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:13:32+00:00,229327,poll_message_req,2024-11-01 03:06:07+00:00,38.3803741,-2.6935962,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:13:44+00:00,229198,poll_message_req,2024-11-01 03:12:07+00:00,38.3803774,-2.6936903,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:15:27+00:00,229175,poll_message_req,2024-11-01 03:15:27+00:00,38.3803867,-2.6936936,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:15:45+00:00,246064,poll_message_req,2024-11-01 03:13:47+00:00,38.3802316,-2.6936838,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:15:50+00:00,246050,poll_message_req,2024-11-01 02:20:07+00:00,38.3802628,-2.6935372,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:15:57+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:16:25+00:00,229107,poll_message_req,2024-11-01 03:16:22+00:00,38.380363,-2.693662,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:26:35+00:00,229344,poll_message_req,2024-11-01 02:23:47+00:00,38.3804091,-2.6937796,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:27:24+00:00,229111,poll_message_req,2024-11-01 03:15:52+00:00,38.3804001,-2.6934779,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:28:32+00:00,229327,poll_message_req,2024-11-01 03:24:57+00:00,38.3802701,-2.6936097,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:28:53+00:00,229198,poll_message_req,2024-11-01 03:12:07+00:00,38.3803774,-2.6936903,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:30:26+00:00,229175,poll_message_req,2024-11-01 03:30:22+00:00,38.3803206,-2.6935172,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:30:45+00:00,246064,poll_message_req,2024-11-01 03:13:47+00:00,38.3802316,-2.6936838,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:30:49+00:00,246050,poll_message_req,2024-11-01 03:30:47+00:00,38.3802849,-2.6937111,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:30:54+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:31:25+00:00,229107,poll_message_req,2024-11-01 03:31:04+00:00,38.3803101,-2.6937323,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:41:34+00:00,229344,poll_message_req,2024-11-01 03:30:07+00:00,38.3802718,-2.6937891,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:42:25+00:00,229111,poll_message_req,2024-11-01 03:42:22+00:00,38.3804143,-2.693551,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:43:31+00:00,229327,poll_message_req,2024-11-01 03:24:57+00:00,38.3802701,-2.6936097,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:43:46+00:00,229198,poll_message_req,2024-11-01 03:31:27+00:00,38.3803369,-2.6936659,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:45:26+00:00,229175,poll_message_req,2024-11-01 03:44:07+00:00,38.3803648,-2.6935638,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:45:45+00:00,246064,poll_message_req,2024-11-01 03:42:20+00:00,38.3803876,-2.6936676,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:45:50+00:00,246050,poll_message_req,2024-11-01 03:31:12+00:00,38.3802948,-2.6936803,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:45:54+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:46:25+00:00,229107,poll_message_req,2024-11-01 03:46:22+00:00,38.3802466,-2.6936395,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 03:56:34+00:00,229344,poll_message_req,2024-11-01 03:30:07+00:00,38.3802718,-2.6937891,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:57:24+00:00,229111,poll_message_req,2024-11-01 03:42:52+00:00,38.3804182,-2.6936365,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:58:32+00:00,229327,poll_message_req,2024-11-01 03:52:07+00:00,38.3802525,-2.6936701,Fence,Sleep,FenceStatus_Normal
2024-11-01 03:58:46+00:00,229198,poll_message_req,2024-11-01 03:46:47+00:00,38.3803222,-2.6936814,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:00:26+00:00,229175,poll_message_req,2024-11-01 03:44:07+00:00,38.3803648,-2.6935638,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:00:45+00:00,246064,poll_message_req,2024-11-01 03:42:20+00:00,38.3803876,-2.6936676,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:00:50+00:00,246050,poll_message_req,2024-11-01 03:49:57+00:00,38.3802591,-2.693695,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:00:52+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:01:25+00:00,229107,poll_message_req,2024-11-01 03:48:57+00:00,38.3803213,-2.693702,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:11:39+00:00,229344,poll_message_req,2024-11-01 03:30:07+00:00,38.3802718,-2.6937891,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:12:25+00:00,229111,poll_message_req,2024-11-01 03:42:52+00:00,38.3804182,-2.6936365,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:13:32+00:00,229327,poll_message_req,2024-11-01 04:13:32+00:00,38.3802062,-2.6934363,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 04:13:46+00:00,229198,poll_message_req,2024-11-01 04:12:17+00:00,38.380343,-2.6937151,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:15:26+00:00,229175,poll_message_req,2024-11-01 03:44:07+00:00,38.3803648,-2.6935638,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:15:45+00:00,246064,poll_message_req,2024-11-01 04:10:17+00:00,38.3803314,-2.6936922,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:15:50+00:00,246050,poll_message_req,2024-11-01 03:49:57+00:00,38.3802591,-2.693695,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:16:07+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:16:25+00:00,229107,poll_message_req,2024-11-01 03:48:57+00:00,38.3803213,-2.693702,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:26:35+00:00,229344,poll_message_req,2024-11-01 03:30:07+00:00,38.3802718,-2.6937891,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:27:24+00:00,229111,poll_message_req,2024-11-01 03:42:52+00:00,38.3804182,-2.6936365,Fence,Sleep,FenceStatus_Normal
