time;device_id;msg_type;position_time;lat;lon
15/09/2024 23:29;229116;warning_message;15/09/2024 23:29;383827643;-26987079
15/09/2024 23:29;229116;poll_msg;15/09/2024 23:29;383827705;-2698628
15/09/2024 23:34;229116;warning_message;15/09/2024 23:34;383827158;-26987375
15/09/2024 23:39;229116;warning_message;15/09/2024 23:39;383827074;-26987412
15/09/2024 23:44;229116;seq_msg;;;
15/09/2024 23:44;229116;poll_msg;15/09/2024 23:44;383828013;-26986362
15/09/2024 23:53;229116;warning_message;15/09/2024 23:53;383829371;-2698606
15/09/2024 23:59;229116;poll_msg;15/09/2024 23:59;383828761;-26984785
05/08/2024 6:17;229175;poll_msg;;;
05/08/2024 6:17;229175;poll_msg;;;
05/08/2024 6:31;229175;poll_msg;05/08/2024 6:31;384140305;-26737052
05/08/2024 6:31;229175;poll_msg;05/08/2024 6:31;38414028;-26736045
05/08/2024 6:46;229175;seq_msg;;;
05/08/2024 6:46;229175;poll_msg;05/08/2024 6:46;383837523;-26860372
05/08/2024 7:16;229175;seq_msg;;;
05/08/2024 7:16;229175;poll_msg;05/08/2024 6:55;383815798;-26935849
05/08/2024 7:31;229175;poll_msg;05/08/2024 6:55;383815798;-26935849
05/08/2024 7:46;229175;seq_msg;;;
05/08/2024 7:46;229175;poll_msg;05/08/2024 7:46;383815344;-26934087
05/08/2024 8:01;229175;poll_msg;05/08/2024 8:01;383814829;-26934573
05/08/2024 8:16;229175;seq_msg;;;
05/08/2024 8:16;229175;poll_msg;05/08/2024 8:16;383828578;-26952739
05/08/2024 8:32;229175;poll_msg;05/08/2024 8:32;383828985;-26980863
05/08/2024 8:32;229175;poll_msg;05/08/2024 8:32;383828979;-2698083
05/08/2024 8:32;229175;poll_msg;05/08/2024 8:32;383828966;-26980849
05/08/2024 8:46;229175;seq_msg;;;
05/08/2024 8:46;229175;poll_msg;05/08/2024 8:46;383826752;-26979521
05/08/2024 8:54;229175;warning_message;05/08/2024 8:54;383831546;-26976284
05/08/2024 8:55;229175;warning_message;05/08/2024 8:55;383832037;-26976179
05/08/2024 9:02;229175;poll_msg;05/08/2024 9:01;383830932;-26978151
05/08/2024 9:16;229175;seq_msg;;;
05/08/2024 9:17;229175;poll_msg;05/08/2024 9:15;383830508;-26978209
05/08/2024 9:31;229175;poll_msg;05/08/2024 9:30;38383117;-26981911
05/08/2024 9:46;229175;seq_msg;;;
05/08/2024 9:47;229175;poll_msg;05/08/2024 9:46;383830288;-26981468
05/08/2024 10:02;229175;poll_msg;05/08/2024 10:02;383826492;-26983357
05/08/2024 10:16;229175;seq_msg;;;
05/08/2024 10:17;229175;poll_msg;05/08/2024 10:17;383822609;-26985093
05/08/2024 10:31;229175;poll_msg;05/08/2024 10:31;383824207;-26980173
